Symbol,Year,Dividend Date,Market Capitalization,Count of total dividends paid for that year,How much was paid,Price at Beginning of Year,Price at End of Year
MAIN,2022,04/01/2022,3244417536.0,16.0,0.215,40.11905288696289,35.75383758544922
MAIN,2022,05/02/2022,3244417536.0,16.0,0.215,40.11905288696289,35.75383758544922
MAIN,2022,06/01/2022,3244417536.0,16.0,0.215,40.11905288696289,35.75383758544922
MAIN,2022,06/21/2022,3244417536.0,16.0,0.075,40.11905288696289,35.75383758544922
MAIN,2022,07/01/2022,3244417536.0,16.0,0.215,40.11905288696289,35.75383758544922
MAIN,2022,08/01/2022,3244417536.0,16.0,0.215,40.11905288696289,35.75383758544922
MAIN,2022,09/01/2022,3244417536.0,16.0,0.215,40.11905288696289,35.75383758544922
MAIN,2022,09/19/2022,3244417536.0,16.0,0.1,40.11905288696289,35.75383758544922
MAIN,2022,10/06/2022,3244417536.0,16.0,0.22,40.11905288696289,35.75383758544922
MAIN,2022,11/07/2022,3244417536.0,16.0,0.22,40.11905288696289,35.75383758544922
MAIN,2022,12/07/2022,3244417536.0,16.0,0.22,40.11905288696289,35.75383758544922
MAIN,2022,12/19/2022,3244417536.0,16.0,0.1,40.11905288696289,35.75383758544922
ADP,2021,03/11/2021,89449398272.0,4.0,0.93,161.79684448242188,239.61607360839844
ADP,2021,06/10/2021,89449398272.0,4.0,0.93,161.79684448242188,239.61607360839844
ADP,2021,09/09/2021,89449398272.0,4.0,0.93,161.79684448242188,239.61607360839844
ADP,2021,12/09/2021,89449398272.0,4.0,1.04,161.79684448242188,239.61607360839844
ADP,2022,03/10/2022,89449398272.0,4.0,1.04,238.1035919189453,237.514892578125
ADP,2022,06/09/2022,89449398272.0,4.0,1.04,238.1035919189453,237.514892578125
ADP,2022,09/08/2022,89449398272.0,4.0,1.04,238.1035919189453,237.514892578125
ADP,2022,12/08/2022,89449398272.0,4.0,1.25,238.1035919189453,237.514892578125
SBUX,2021,02/17/2021,114066800640.0,4.0,0.45,98.08655548095703,112.41567993164062
SBUX,2021,05/12/2021,114066800640.0,4.0,0.45,98.08655548095703,112.41567993164062
SBUX,2021,08/11/2021,114066800640.0,4.0,0.45,98.08655548095703,112.41567993164062
SBUX,2021,11/10/2021,114066800640.0,4.0,0.49,98.08655548095703,112.41567993164062
SBUX,2022,02/10/2022,114066800640.0,4.0,0.49,112.84120178222656,98.21634674072266
SBUX,2022,05/12/2022,114066800640.0,4.0,0.49,112.84120178222656,98.21634674072266
SBUX,2022,08/11/2022,114066800640.0,4.0,0.49,112.84120178222656,98.21634674072266
